category,difficulty,question,correct_answer,incorrect_answers
Geography,medium,Which state of the United States is the smallest?,Rhode Island ,"['Maine', 'Vermont', 'Massachusetts']"
Geography,medium,"On a London Underground map, what colour is the Circle Line?",Yellow,"['Red', 'Blue', 'Green']"
Geography,medium,What is the capital of Peru?,Lima,"['Santiago', 'Montevideo', 'Buenos Aires']"
Geography,medium,What is the only country in the world with a flag that doesn't have four right angles?,Nepal,"['Panama', 'Angola', 'Egypt']"
Geography,medium,How many countries are inside the United Kingdom?,Four,"['Two', 'Three', 'One']"
Geography,medium,"Which country inside the United Kingdom does NOT appear on its flag, the Union Jack?",Wales,"['Scotland', 'Ireland', 'Isle of Wight']"
Geography,medium,"What is the name of the former country that was succeeded by countries such as Serbia, Croatia and Slovenia?",Yugoslavia,"['Czechoslovakia', 'Abkhazia', 'South Ossetia']"
Geography,medium,What is the largest non-continental island in the world?,Greenland,"['New Guinea', 'Borneo', 'Madagascar']"
Geography,medium,What is the name of the capital of Turkey?,Ankara,"['Istanbul', 'Izmir', 'Bursa']"
Geography,medium,Kuala Lumpur is the capital of which country?,Malaysia,"['Indonesia', 'Singapore', 'Thailand']"
Geography,medium,Where is the area commonly known as the Bermuda Triangle?,"North Atlantic Ocean, between Florida and Puerto Rico","['North Pacific Ocean, between Japan and the USA', 'In the Caribbean Sea', 'South Pacific Ocean, far off Chile']"
Geography,medium,Where is Earth's South Magnetic Pole?,The North Pole,"['The South Pole', 'The Tropic of Cancer', 'The Equator']"
Geography,medium,Which of these countries is NOT located in Africa?,Suriname,"['Burkina Faso', 'Mozambique', 'Algeria']"
Geography,medium,Which of these is NOT an island that is part of the Philippines?,Java,"['Luzon', 'Mindanao', 'Palawan']"
Geography,medium,The World Health Organization headquarters is located in which European country?,Switzerland,"['United Kingdom', 'France', 'Belgium']"
Geography,medium,"Gibraltar, located just south of the Iberian peninsula, is a territory of which West Europe country?",United Kingdom,"['Spain', 'Portugal', 'France']"
Geography,medium,Where are the Nazca Lines located?,Peru,"['Brazil', 'Colombia', 'Ecuador']"
Geography,medium,What is the capital of Slovakia?,Bratislava,"['Sofia', 'Ljubljana', 'Sarajevo']"
Geography,medium,How many timezones does Russia have?,11,"['6', '24', '16']"
Geography,medium,Which of these countries is the smallest by population?,Norway,"['Slovakia', 'Finland', 'Hong Kong']"
Geography,medium,"In the 2016 Global Peace Index poll, out of 163 countries, what was the United States of America ranked?",103,"['10', '59', '79']"
Geography,medium,"What is the region conjoining Pakistan, India, and China with unknown leadership called?",Kashmir,"['Andorra', 'Gibraltar', 'Quin']"
Geography,medium,What's the first National Park designated in the United States?,Yellowstone,"['Sequoia ', 'Yosemite', 'Rocky Mountain']"
Geography,medium,Broome is a town in which state of Australia?,Western Australia,"['Northern Territory', 'South Australia', 'Tasmania']"
Geography,medium,What is the capital city of Slovenia?,Ljubljana,"['Maribor', 'Velenje', 'Trbovlje']"
Geography,medium,What continent is the country Lesotho in?,Africa,"['Asia', 'South America', 'Europe']"
Geography,medium,Which of the following is the longest river in Europe?,Volga,"['Danube', 'Ural', 'Dnieper']"
Geography,medium,How many rivers are in Saudi Arabia?,0,"['1', '2', '3']"
Geography,medium,Which of these country's capitals starts with the letter B?,Lebanon,"['Jordan', 'Kuwait', 'Qatar']"
Geography,medium,Which is the world's longest river?,Nile,"['Missouri', 'Amazon', 'Yangtze']"
